date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-05-27T00:00:00.000Z,132.045,132.26,130.05,130.34,45833246,29.6419228434,29.6901867944,29.1940782747,29.2591784877,183332984,0.0,1.0
2015-05-28T00:00:00.000Z,131.78,131.95,131.1,131.86,30733309,29.5824347178,29.6205969116,29.4297859425,29.6003933972,122933236,0.0,1.0
2015-05-29T00:00:00.000Z,130.28,131.45,129.9,131.23,50884452,29.2457094781,29.508355165,29.1604057508,29.4589687966,203537808,0.0,1.0
2015-06-01T00:00:00.000Z,130.535,131.39,130.05,131.2,32112797,29.3029527689,29.4948861555,29.1940782747,29.4522342918,128451188,0.0,1.0
2015-06-02T00:00:00.000Z,129.96,130.655,129.32,129.86,33667627,29.1738747604,29.3298907881,29.0302053248,29.1514264111,134670508,0.0,1.0
2015-06-03T00:00:00.000Z,130.12,130.94,129.9,130.66,30983542,29.2097921193,29.3938685836,29.1604057508,29.3310132055,123934168,0.0,1.0
2015-06-04T00:00:00.000Z,129.36,130.58,128.91,129.58,38450118,29.0391846645,29.3130545261,28.9381670926,29.088571033,153800472,0.0,1.0
2015-06-05T00:00:00.000Z,128.65,129.69,128.36,129.5,35626800,28.8798013844,29.1132642172,28.8147011714,29.0706123535,142507200,0.0,1.0
2015-06-08T00:00:00.000Z,127.8,129.21,126.83,128.9,52674786,28.6889904153,29.0055121406,28.471241427,28.9359222577,210699144,0.0,1.0
2015-06-09T00:00:00.000Z,127.42,128.08,125.62,126.7,56075420,28.6036866879,28.7518457934,28.1996164004,28.4420585729,224301680,0.0,1.0
2015-06-10T00:00:00.000Z,128.88,129.34,127.85,127.92,39087250,28.9314325878,29.0346949947,28.70021459,28.7159284345,156349000,0.0,1.0
2015-06-11T00:00:00.000Z,128.59,130.18,128.475,129.18,35390887,28.8663323748,29.2232611288,28.8405167731,28.9987776358,141563548,0.0,1.0
2015-06-12T00:00:00.000Z,127.17,128.33,127.11,128.185,36886246,28.5475658147,28.8079666666,28.5340968051,28.7754165601,147544984,0.0,1.0
2015-06-15T00:00:00.000Z,126.92,127.24,125.71,126.1,43988946,28.4914449414,28.5632796592,28.2198199148,28.3073684771,175955784,0.0,1.0
2015-06-16T00:00:00.000Z,127.6,127.85,126.37,127.03,31494131,28.6440937167,28.70021459,28.3679790202,28.5161381256,125976524,0.0,1.0
2015-06-17T00:00:00.000Z,127.3,127.88,126.74,127.72,32918071,28.5767486688,28.7069490948,28.4510379127,28.6710317359,131672284,0.0,1.0
2015-06-18T00:00:00.000Z,127.88,128.31,127.22,127.23,35407220,28.7069490948,28.8034769968,28.5587899893,28.5610348243,141628880,0.0,1.0
2015-06-19T00:00:00.000Z,126.6,127.82,126.4,127.71,54716887,28.4196102236,28.6934800852,28.374713525,28.6687869009,218867548,0.0,1.0
2015-06-22T00:00:00.000Z,127.61,128.06,127.08,127.49,34039345,28.6463385516,28.7473561235,28.5273623003,28.6194005325,136157380,0.0,1.0
2015-06-23T00:00:00.000Z,127.03,127.61,126.8792,127.48,30268863,28.5161381256,28.6463385516,28.4822860149,28.6171556975,121075452,0.0,1.0
2015-06-24T00:00:00.000Z,128.11,129.8,127.12,127.21,55280855,28.7585802982,29.1379574015,28.53634164,28.5565451544,221123420,0.0,1.0
2015-06-25T00:00:00.000Z,127.5,129.2,127.5,128.86,31938100,28.6216453674,29.0032673056,28.6216453674,28.926942918,127752400,0.0,1.0
2015-06-26T00:00:00.000Z,126.75,127.99,126.51,127.67,44066841,28.4532827476,28.731642279,28.3994067092,28.6598075612,176267364,0.0,1.0
2015-06-29T00:00:00.000Z,124.53,126.47,124.48,125.46,49161427,27.954929393,28.3904273695,27.9437052183,28.1636990415,196645708,0.0,1.0
2015-06-30T00:00:00.000Z,125.425,126.12,124.86,125.57,44370682,28.1558421193,28.3118581469,28.0290089457,28.1883922258,177482728,0.0,1.0
2015-07-01T00:00:00.000Z,126.6,126.94,125.99,126.9,30238811,28.4196102236,28.4959346113,28.2826752928,28.4869552715,120955244,0.0,1.0
2015-07-02T00:00:00.000Z,126.44,126.69,125.77,126.43,27210952,28.3836928647,28.439813738,28.2332889244,28.3814480298,108843808,0.0,1.0
2015-07-06T00:00:00.000Z,126.0,126.23,124.85,124.94,28060431,28.2849201278,28.3365513312,28.0267641107,28.0469676251,112241724,0.0,1.0
2015-07-07T00:00:00.000Z,125.69,126.15,123.77,125.89,46946811,28.2153302449,28.3185926517,27.7843219382,28.2602269435,187787244,0.0,1.0
2015-07-08T00:00:00.000Z,122.57,124.64,122.54,124.48,60761614,27.5149417465,27.9796225772,27.5082072417,27.9437052183,243046456,0.0,1.0
2015-07-09T00:00:00.000Z,120.07,124.06,119.22,123.85,78595038,26.9537330138,27.8494221512,26.7629220447,27.8022806177,314380152,0.0,1.0
2015-07-10T00:00:00.000Z,123.28,123.85,121.21,121.94,61354474,27.6743250266,27.8022806177,27.2096441959,27.3735171459,245417896,0.0,1.0
2015-07-13T00:00:00.000Z,125.66,125.755,124.32,125.03,41440538,28.2085957401,28.229921672,27.9077878594,28.0671711395,165762152,0.0,1.0
2015-07-14T00:00:00.000Z,125.61,126.37,125.04,126.04,31768139,28.1973715655,28.3679790202,28.0694159744,28.2938994675,127072556,0.0,1.0
2015-07-15T00:00:00.000Z,126.82,127.15,125.58,125.72,33649200,28.4689965921,28.5430761448,28.1906370607,28.2220647497,134596800,0.0,1.0
2015-07-16T00:00:00.000Z,128.51,128.57,127.35,127.74,36222447,28.8483736954,28.861842705,28.5879728434,28.6755214057,144889788,0.0,1.0
